Title,Genre,Runtime,Rating
Patton Oswalt: Annihilation,,66,7.4
New York Doll,"Documentary,Music",75,7.9
Mickey's Magical Christmas: Snowed in at the House of Mouse,"Adventure,Animation,Comedy,Family,Fantasy",65,6.8
Mickey's House of Villains,"Animation,Comedy,Family,Fantasy,Horror",105,6.6
And Then I Go,Drama,99,7.6
An Extremely Goofy Movie,"Animation,Comedy,Family,Sport",79,6.4
Peter Rabbit,"Adventure,Animation,Comedy,Family,Fantasy",95,6.6
Love Songs,,91,7.2
89,,91,8.1
The Foster Boy,Drama,107,7.4
Forever My Girl,"Drama,Music,Romance",108,6.4
Tom Segura: Disgraceful,"Comedy,Documentary",105,7.5
The Secret Rules of Modern Living: Algorithms,Documentary,58,7.5
Secrets in the Fall,Family,105,7.3
Silent Night,"Comedy,Drama",100,7.5
Suicide Squad: Hell to Pay,"Action,Animation",86,7.2
Wildling,"Fantasy,Horror",92,6.1
The Humanity Bureau,"Action,Sci-Fi",95,6.1
Farewell Ferris Wheel,"Documentary,Drama,News",72,7.4
Don't Talk to Irene,Comedy,90,6.4
Blood Road,"Documentary,History,Sport",96,6.9
Andre the Giant,Documentary,85,8.2
Dead on Arrival,Thriller,97,6.9
Big Time,Documentary,93,6.2
Adventures in Babysitting,"Adventure,Comedy,Family",105,6.1
Banana in a Nutshell,Documentary,105,6.6
Hostiles,"Adventure,Drama,Western",134,7.3
Maze Runner: The Death Cure,"Action,Sci-Fi,Thriller",141,6.5
Den of Thieves,"Action,Crime,Drama,Mystery,Thriller",140,7.0
V.I.P.,"Action,Crime,Thriller",128,6.4
Walk Hard: The Dewey Cox Story,"Comedy,Music",96,6.8
Freaky Friday,"Comedy,Family,Fantasy,Music,Romance",97,6.2
Perfect Strangers,Comedy,97,7.0
Paterno,"Biography,Drama",105,6.6
Shirley: Visions of Reality,Documentary,92,6.5
5 Centimeters Per Second,"Animation,Drama,Romance",63,7.7
Faces Places,Documentary,89,8.0
The Post,"Biography,Drama,History,Thriller",116,7.2
The Anthem of the Heart,"Drama,Family",119,6.2
My Teacher,"Drama,Romance",113,6.0
You Were Never Really Here,"Drama,Mystery,Thriller",89,7.1
Petals on the Wind,"Drama,Horror,Romance,Thriller",85,6.3
Jesus Christ Superstar Live in Concert,Musical,99,8.0
Dare to Be Wild,"Biography,Drama,Romance",100,6.4
Being Julia,"Comedy,Drama,Romance",104,7.0
Trouble Is My Business,"Action,Adventure,Crime,Mystery,Thriller",116,6.1
Outside In,Drama,109,6.4
Froning: The Fittest Man in History,Documentary,99,6.7
Elizabethtown,"Comedy,Drama,Romance",123,6.4
The Other Side of Heaven,"Adventure,Biography,Drama",113,6.5
Sons of Ben,"Biography,Documentary,Sport",75,7.8
12 Strong,"Action,Drama,History,War",130,6.7
The Commuter,"Action,Crime,Drama,Mystery,Thriller",105,6.3
Birdshot,"Drama,Mystery,Thriller",116,6.8
May,"Drama,Horror",93,6.7
The China Hustle,Documentary,82,6.8
The Lost Brother,"Crime,Drama,Thriller",112,6.7
The Redeemed and the Dominant: Fittest on Earth,Documentary,119,7.1
First Match,"Drama,Sport",102,6.1
Re: Born,"Action,Crime,Drama,War",115,6.0
A Moving Romance,Family,90,6.1
Happy End,Drama,107,6.9
After the Storm,"Comedy,Drama",118,7.4
Mary and the Witch's Flower,"Adventure,Animation,Family,Fantasy",102,6.8
The Last Movie Star,Drama,94,6.8
Lucky,"Comedy,Drama",88,7.4
Phantom Thread,"Drama,Romance",130,7.7
Molly's Game,"Biography,Crime,Drama",140,7.5
The Third Murder,"Drama,Mystery",124,6.8
The Coming Days,"Drama,Sci-Fi",125,6.3
Ichi the Killer,"Action,Comedy,Crime,Drama,Horror",129,7.1
The Boy with the Topknot,Drama,90,6.7
Small Town Crime,"Crime,Mystery,Thriller",91,6.6
Control,"Action,Crime,Drama,Thriller",127,6.3
Dear Etranger,Drama,105,7.0
Before We Vanish,"Drama,Sci-Fi",129,6.0
Grace Jones: Bloodlight and Bami,Documentary,115,6.1
All the Money in the World,"Biography,Crime,Drama,Mystery,Thriller",132,6.9
Chasing the Dragon,"Action,Biography,Crime,History",128,6.9
I Kill Giants,"Drama,Fantasy,Thriller",106,6.5
Roxanne Roxanne,Drama,100,6.1
Film Stars Don't Die in Liverpool,"Biography,Drama,Romance",105,6.8
Every Secret Thing,"Crime,Drama,Mystery,Thriller",93,6.1
Believe in Me,"Drama,Sport",105,7.1
Still the Water,"Drama,Romance",121,6.8
Redemption Trail,Drama,92,6.7
