Title,Rating,Genre,Runtime
The Matrix,8.7,"Action, Sci-Fi",136 min
The Lord of the Rings: The Fellowship of the Ring,8.9,"Action, Adventure, Drama",178 min
Inception,8.8,"Action, Adventure, Sci-Fi",148 min
The Dark Knight,9.0,"Action, Crime, Drama",152 min
Star Wars: Episode IV - A New Hope,8.6,"Action, Adventure, Fantasy",121 min
12 Angry Men,9.0,"Crime, Drama",96 min
The Godfather,9.2,"Crime, Drama",175 min
Fight Club,8.8,Drama,139 min
Forrest Gump,8.8,"Drama, Romance",142 min
Pulp Fiction,8.9,"Crime, Drama",154 min
"The Good, the Bad and the Ugly",8.8,"Adventure, Drama, Western",178 min
Star Wars: Episode V - The Empire Strikes Back,8.7,"Action, Adventure, Fantasy",124 min
The Lord of the Rings: The Return of the King,9.0,"Action, Adventure, Drama",201 min
The Godfather Part II,9.0,"Crime, Drama",202 min
Goodfellas,8.7,"Biography, Crime, Drama",145 min
The Lord of the Rings: The Two Towers,8.8,"Action, Adventure, Drama",179 min
The Shawshank Redemption,9.3,Drama,142 min
Psycho,8.5,"Horror, Mystery, Thriller",109 min
Saving Private Ryan,8.6,"Drama, War",169 min
One Flew Over the Cuckoo's Nest,8.7,Drama,133 min
Full Metal Jacket,8.3,"Drama, War",116 min
Schindler's List,9.0,"Biography, Drama, History",195 min
Life Is Beautiful,8.6,"Comedy, Drama, Romance",116 min
Modern Times,8.5,"Comedy, Drama, Romance",87 min
Aliens,8.4,"Action, Adventure, Sci-Fi",137 min
Apocalypse Now,8.4,"Drama, Mystery, War",147 min
Braveheart,8.3,"Biography, Drama, War",178 min
North by Northwest,8.3,"Action, Adventure, Mystery",136 min
Reservoir Dogs,8.3,"Crime, Thriller",99 min
M,8.3,"Crime, Mystery, Thriller",99 min
Jurassic Park,8.2,"Action, Adventure, Sci-Fi",127 min
Raiders of the Lost Ark,8.4,"Action, Adventure",115 min
For a Few Dollars More,8.2,"Drama, Western",132 min
Das Boot,8.4,"Drama, War",149 min
The Shining,8.4,"Drama, Horror",146 min
Taxi Driver,8.2,"Crime, Drama",114 min
The Sting,8.3,"Comedy, Crime, Drama",129 min
